datetime,in,out
2022-06-19 00:00:00,414,415
2022-06-26 00:00:00,466,504
2022-07-03 00:00:00,791,712
2022-07-10 00:00:00,693,645
2022-07-17 00:00:00,643,609
2022-07-24 00:00:00,160,166
